model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	count	fss
NAMnest_mem000	REFC	000000	>=20	729	31	0.6816812903225806
NAMnest_mem000	REFC	010000	>=20	729	31	0.6599890322580646
NAMnest_mem000	REFC	020000	>=20	729	31	0.6318548387096773
NAMnest_mem000	REFC	030000	>=20	729	31	0.6023577419354839
NAMnest_mem000	REFC	040000	>=20	729	31	0.5799858064516129
NAMnest_mem000	REFC	050000	>=20	729	31	0.5611712903225806
NAMnest_mem000	REFC	060000	>=20	729	31	0.5579267741935484
NAMnest_mem000	REFC	070000	>=20	729	31	0.5554519354838711
NAMnest_mem000	REFC	080000	>=20	729	31	0.5541380645161289
NAMnest_mem000	REFC	090000	>=20	729	31	0.5472287096774194
NAMnest_mem000	REFC	100000	>=20	729	31	0.5345529032258064
NAMnest_mem000	REFC	110000	>=20	729	31	0.5211738709677419
NAMnest_mem000	REFC	120000	>=20	729	31	0.5139483870967742
NAMnest_mem000	REFC	130000	>=20	729	31	0.5058377419354839
NAMnest_mem000	REFC	140000	>=20	729	31	0.4977045161290322
NAMnest_mem000	REFC	150000	>=20	729	31	0.48676545161290313
NAMnest_mem000	REFC	160000	>=20	729	31	0.4825274193548387
NAMnest_mem000	REFC	170000	>=20	729	31	0.47781516129032264
NAMnest_mem000	REFC	180000	>=20	729	31	0.4696412903225806
NAMnest_mem000	REFC	190000	>=20	729	31	0.4705383870967741
NAMnest_mem000	REFC	200000	>=20	729	31	0.4743290322580645
NAMnest_mem000	REFC	210000	>=20	729	31	0.4798009677419355
NAMnest_mem000	REFC	220000	>=20	729	31	0.4758012903225807
NAMnest_mem000	REFC	230000	>=20	729	31	0.4681516129032258
NAMnest_mem000	REFC	240000	>=20	729	31	0.46048741935483883
NAMnest_mem000	REFC	250000	>=20	729	31	0.45876451612903224
NAMnest_mem000	REFC	260000	>=20	729	31	0.45430548387096775
NAMnest_mem000	REFC	270000	>=20	729	31	0.45015580645161296
NAMnest_mem000	REFC	280000	>=20	729	31	0.44203129032258054
NAMnest_mem000	REFC	290000	>=20	729	31	0.43879096774193554
NAMnest_mem000	REFC	300000	>=20	729	31	0.4368590322580645
NAMnest_mem000	REFC	310000	>=20	729	31	0.4228000000000001
NAMnest_mem000	REFC	320000	>=20	729	31	0.40455935483870964
NAMnest_mem000	REFC	330000	>=20	729	31	0.3956896774193548
NAMnest_mem000	REFC	340000	>=20	729	31	0.38336
NAMnest_mem000	REFC	350000	>=20	729	31	0.3685070967741936
NAMnest_mem000	REFC	360000	>=20	729	31	0.36838738709677427
NAMnest_mem000	REFC	370000	>=20	729	31	0.3653222580645161
NAMnest_mem000	REFC	380000	>=20	729	31	0.3593406451612904
NAMnest_mem000	REFC	390000	>=20	729	31	0.35693290322580645
NAMnest_mem000	REFC	400000	>=20	729	31	0.35001677419354843
NAMnest_mem000	REFC	410000	>=20	729	31	0.3449354838709678
NAMnest_mem000	REFC	420000	>=20	729	31	0.3498425806451613
NAMnest_mem000	REFC	430000	>=20	729	31	0.3612829032258065
NAMnest_mem000	REFC	440000	>=20	729	31	0.37064290322580645
NAMnest_mem000	REFC	450000	>=20	729	31	0.38490548387096785
NAMnest_mem000	REFC	460000	>=20	729	31	0.37902451612903215
NAMnest_mem000	REFC	470000	>=20	729	31	0.38135709677419344
NAMnest_mem000	REFC	480000	>=20	729	31	0.38120612903225803
NAMnest_mem000	REFC	490000	>=20	729	31	0.3700316129032258
NAMnest_mem000	REFC	500000	>=20	729	31	0.37081225806451623
NAMnest_mem000	REFC	510000	>=20	729	31	0.36403387096774187
NAMnest_mem000	REFC	520000	>=20	729	31	0.3595309677419355
NAMnest_mem000	REFC	530000	>=20	729	31	0.35629580645161285
NAMnest_mem000	REFC	540000	>=20	729	31	0.35581548387096773
NAMnest_mem000	REFC	550000	>=20	729	31	0.3501693548387098
NAMnest_mem000	REFC	560000	>=20	729	31	0.3435529032258064
NAMnest_mem000	REFC	570000	>=20	729	31	0.3427558064516129
NAMnest_mem000	REFC	580000	>=20	729	31	0.3318377419354838
NAMnest_mem000	REFC	590000	>=20	729	31	0.31997216129032263
NAMnest_mem000	REFC	600000	>=20	729	31	0.3145576451612903
