date	model	fcst_var	fcst_lead	vx_mask	thresh_1	oy_1	on_1	thresh_2	oy_2	on_2	thresh_3	oy_3	on_3	thresh_4	oy_4	on_4	thresh_5	oy_5	on_5	thresh_6	oy_6	on_6	thresh_7	oy_7	on_7	thresh_8	oy_8	on_8	thresh_9	oy_9	on_9	thresh_10	oy_10	on_10	thresh_11	oy_11	on_11	thresh_n
2022-05-01 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	-0.05	3498	745115	0.05	3355	69797	0.15	2929	33390	0.25	3121	19018	0.35	3750	12336	0.45	3897	8659	0.55	3962	6762	0.65	3369	4574	0.75	3006	3044	0.85	2388	2484	0.95	481	542	1.05
2022-05-01 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	-0.05	2805	749108	0.05	3312	69523	0.15	4113	32539	0.25	4442	19006	0.35	4696	11504	0.45	4433	8489	0.55	3880	6147	0.65	3486	4493	0.75	2601	2695	0.85	1125	697	0.95	268	115	1.05
2022-05-01 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	-0.05	2908	760394	0.05	3144	65272	0.15	4628	31490	0.25	4838	18879	0.35	4105	12896	0.45	3782	9197	0.55	2993	5991	0.65	1742	3359	0.75	941	1692	0.85	603	471	0.95	91	61	1.05
2022-05-01 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	-0.05	3308	776353	0.05	3600	75082	0.15	3450	34866	0.25	2887	18080	0.35	2043	9184	0.45	1514	4056	0.55	1018	1775	0.65	615	747	0.75	283	363	0.85	109	114	0.95	19	11	1.05
2022-05-02 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	-0.05	6566	835916	0.05	4710	38238	0.15	3120	15213	0.25	2787	7780	0.35	1897	4007	0.45	1498	2543	0.55	1314	1891	0.65	1211	1758	0.75	1255	1667	0.85	1821	1258	0.95	2035	992	1.05
2022-05-02 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	-0.05	6068	791925	0.05	4945	62225	0.15	3670	24977	0.25	3069	13763	0.35	2807	7765	0.45	1682	4213	0.55	1338	2601	0.65	1524	1764	0.75	1540	1121	0.85	1534	392	0.95	450	104	1.05
2022-05-02 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	-0.05	4321	787644	0.05	5548	62170	0.15	5067	25626	0.25	4372	12627	0.35	3658	8435	0.45	2408	4985	0.55	1713	3073	0.65	1141	2493	0.75	1037	1427	0.85	588	602	0.95	309	233	1.05
2022-05-02 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	-0.05	3988	785932	0.05	3703	42393	0.15	4090	24378	0.25	4845	15901	0.35	4742	10755	0.45	5098	6443	0.55	4498	4844	0.65	4263	2963	0.75	3932	1833	0.85	3002	863	0.95	717	294	1.05
2022-05-02 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	-0.05	6602	778428	0.05	4665	53030	0.15	3882	22774	0.25	3431	12899	0.35	3273	7769	0.45	3849	5415	0.55	4429	4941	0.65	3623	4233	0.75	3177	3100	0.85	2561	2022	0.95	2066	3308	1.05
2022-05-02 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	-0.05	2773	759397	0.05	2434	54977	0.15	3876	24686	0.25	3989	14707	0.35	3227	10246	0.45	2815	7900	0.55	2987	6431	0.65	3544	6136	0.75	3589	4585	0.85	4247	5086	0.95	4151	7694	1.05
2022-05-03 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	-0.05	4059	790618	0.05	3407	45268	0.15	3078	22018	0.25	2845	12701	0.35	2452	7413	0.45	2558	4931	0.55	2665	4215	0.65	3320	4196	0.75	3667	3817	0.85	4377	3722	0.95	5699	2451	1.05
2022-05-03 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	-0.05	2636	753374	0.05	2707	60863	0.15	3234	28916	0.25	3624	18662	0.35	3830	11495	0.45	4176	7667	0.55	4879	6616	0.65	4984	5355	0.75	4797	3686	0.85	3669	2153	0.95	1734	420	1.05
2022-05-03 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	-0.05	3076	769947	0.05	2325	51531	0.15	3988	25029	0.25	3228	15882	0.35	2682	11452	0.45	3434	8450	0.55	4312	5880	0.65	5605	3662	0.75	5708	2250	0.85	6231	1512	0.95	2894	399	1.05
2022-05-03 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	-0.05	2127	777392	0.05	1643	45525	0.15	2207	22559	0.25	3022	15300	0.35	3296	10975	0.45	4879	8410	0.55	5283	6699	0.65	5790	4437	0.75	5941	2500	0.85	6918	1326	0.95	2997	251	1.05
2022-05-03 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	-0.05	4031	787203	0.05	3684	45228	0.15	4718	21396	0.25	4216	12709	0.35	4627	9149	0.45	4438	6841	0.55	3811	5097	0.65	4240	4856	0.75	3868	4185	0.85	2115	1913	0.95	394	758	1.05
2022-05-03 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	-0.05	2395	761814	0.05	2704	72769	0.15	2591	34271	0.25	1934	17757	0.35	1999	11006	0.45	2381	6638	0.55	2493	3811	0.65	2965	2487	0.75	4082	949	0.85	3121	155	0.95	1130	25	1.05
