fcst_lead	observed_diff	p_value	ci_lower	ci_upper	better_model	significant
0	-0.41035910741925985	0.9433	-0.5305678104305595	-0.39754607302264394	Model A	False
1	0.017170462964548827	0.6363	-0.04024370980773307	0.07623778735344053	Model B	False
2	0.058504268286169836	0.0777	-0.023946139216088205	0.0722320791342937	Model B	False
3	0.06896800558141924	0.0036	-0.041766299389328125	0.04667464644037961	Model B	True
4	0.07664141293255633	0.0015	-0.033014890948364975	0.055973844173982955	Model B	True
5	0.09546096729428633	0.0015	-0.0015388406958301466	0.07455571478268776	Model B	True
6	0.10868384745874793	0.0006	0.009415714611040557	0.08456945858699268	Model B	True
7	0.11086950558759923	0.0014	0.01497990064114668	0.0946828448364367	Model B	True
8	0.11734020413239632	0.0002	0.01229762181993455	0.0913176544014138	Model B	True
9	0.12058706546502407	0.0	-0.0008146839562825419	0.086244739993489	Model B	True
10	0.13007421245025252	0.0	0.0024147479562961925	0.09754773237680898	Model B	True
11	0.1120659769100758	0.0	-0.005931290205621113	0.08181498562714112	Model B	True
12	0.09769496258260535	0.0001	-0.01298717007576369	0.06848435854595322	Model B	True
13	0.07541320891160441	0.0101	-0.011287383291800216	0.06875545656718413	Model B	True
14	0.05109275944367431	0.007	-0.03259183497612622	0.039432638303642235	Model B	True
15	0.04600146522187254	0.0084	-0.02339197174119322	0.0391221339073309	Model B	True
16	0.03547825676338556	0.1992	-0.034272336097419004	0.061894054268059454	Model B	False
17	0.026330010288551087	0.6713	-0.015510741655325193	0.1024275283269236	Model B	False
18	0.018366838915175876	0.9068	-0.004042903416606016	0.1444843422326831	Model B	False
19	0.008319524430568048	0.98	0.005026004830136127	0.16739677598232933	Model B	False
20	0.007722015633967905	0.988	0.012554099475987663	0.17870283272989626	Model B	False
21	0.021394674336811415	0.9941	0.04554081204193088	0.21962380536866224	Model B	False
22	0.053804325427423194	0.9742	0.05330530845048964	0.2442467283483815	Model B	False
23	0.09266670505890451	0.9452	0.07296629691532842	0.3092360806014873	Model B	False
24	0.12102636426127833	0.8728	0.06784857635292893	0.3293725508065825	Model B	False
25	0.14763821787456544	0.775	0.07307044572854886	0.31511345597527385	Model B	False
26	0.1614748406322355	0.5928	0.08736321640223006	0.26103355464651895	Model B	False
27	0.17618603807309507	0.6281	0.10994400640741078	0.2661843295023232	Model B	False
28	0.16746424001285476	0.5959	0.10125005348904743	0.2465064253853687	Model B	False
29	0.15411738525099206	0.6488	0.08988665450263744	0.24317407289353105	Model B	False
30	0.14504311713105777	0.4756	0.06365820563833126	0.2157981268154015	Model B	False
31	0.13722075232962028	0.4346	0.0569097533814143	0.20612310001253337	Model B	False
32	0.13210125186448285	0.2985	0.03326674595981951	0.18862346873464209	Model B	False
33	0.11843457076731045	0.1792	-0.01167656169331524	0.16460296918430775	Model B	False
34	0.11508124778509354	0.1115	-0.028422812319823368	0.14792143368897612	Model B	False
35	0.1034356511162664	0.0765	-0.040157371363083845	0.1265882971372533	Model B	False
36	0.10114224587003595	0.0511	-0.04040802257933815	0.11388874846435651	Model B	False
