	fcst_lead	rmse_mean	rmse_bcl	rmse_bcu	bias_mean	bias_bcl	bias_bcu
0	0	1.231086341171348	1.2087630967556982	1.2534095855869978	-0.025504536547464155	-0.04171748425980804	-0.009291588835120268
1	1	1.2501432738009133	1.2265963464051282	1.2736902011966984	-0.20733727140763605	-0.22449227445412243	-0.19018226836114968
2	2	1.1820345546881383	1.159473038216751	1.2045960711595256	-0.19444962333001006	-0.20960216342405216	-0.17929708323596796
3	3	1.231509171153732	1.2080161866328454	1.2550021556746187	-0.2711552009789549	-0.28653227952592114	-0.25577812243198866
4	4	1.2763775478412749	1.2540768145537589	1.298678281128791	-0.2917479655157982	-0.307205893243232	-0.27629003778836436
5	5	1.2948315234963004	1.2740252479720977	1.315637799020503	-0.2816897115320542	-0.2975693080315123	-0.26581011503259605
6	6	1.3339746972096542	1.313431703456517	1.3545176909627914	-0.30571860879307206	-0.32326923219047554	-0.28816798539566857
7	7	1.3505377153491145	1.3308955692434314	1.3701798614547975	-0.30401985462295245	-0.3224697000234904	-0.2855700092224145
8	8	1.3726916331324261	1.3530537205915651	1.3923295456732872	-0.32295596090315914	-0.34205974307686104	-0.30385217872945725
9	9	1.4029923992734998	1.3830569022596988	1.4229278962873009	-0.35955477659012813	-0.37898068769731713	-0.34012886548293914
10	10	1.4420126769651853	1.4211255513955434	1.4628998025348272	-0.3621031805381962	-0.38187619506155196	-0.3423301660148404
11	11	1.4593403697116065	1.438256924202965	1.480423815220248	-0.38698040819839347	-0.40862477973773315	-0.3653360366590538
12	12	1.426288173528227	1.4060316849816594	1.4465446620747944	-0.40372766139902083	-0.42847757925691715	-0.3789777435411245
13	13	1.3959284020497231	1.3768691160142938	1.4149876880851524	-0.3950954628476296	-0.4224771354375062	-0.36771379025775297
14	14	1.3632034164874127	1.3439447584494135	1.382462074525412	-0.32481739963188794	-0.34997686556174207	-0.2996579337020338
15	15	1.464337631007214	1.4422255916504627	1.4864496703639654	-0.3234872191949069	-0.3472092281220972	-0.29976521026771663
16	16	1.5684330843656071	1.5430653117164808	1.5938008570147335	-0.3364474008615493	-0.3598697018504734	-0.31302509987262517
17	17	1.6475325969548005	1.6200581497181157	1.6750070441914853	-0.31441056405884904	-0.33870885641319953	-0.29011227170449855
18	18	1.7135021821023249	1.6845363337774817	1.742468030427168	-0.2811875899899652	-0.30671397036635206	-0.2556612096135783
19	19	1.767164320582197	1.736054040277199	1.798274600887195	-0.24404456184272866	-0.27322870750795997	-0.21486041617749735
20	20	1.8206837724508216	1.7862068487149485	1.8551606961866947	-0.20984413135659766	-0.24211191353207517	-0.17757634918112014
21	21	1.867691326251294	1.8304143044225742	1.9049683480800137	-0.17961050842077977	-0.2141097604821111	-0.14511125635944844
22	22	1.9326209872455997	1.8917395864458844	1.973502388045315	-0.15323736974664154	-0.18878233485655793	-0.11769240463672515
23	23	1.9257024551619955	1.8822037491739798	1.969201161150011	-0.06120548098311249	-0.09931213772844681	-0.023098824237778162
24	24	1.9076119459373595	1.8643403642681207	1.9508835276065983	0.021028252316291095	-0.014927317727416255	0.056983822359998444
25	25	1.786851094637303	1.7450377959139398	1.8286643933606663	0.0728293264250174	0.042587777511006356	0.10307087533902844
26	26	1.671780886555624	1.634532534721177	1.7090292383900711	0.09462287167796564	0.06517860392833406	0.12406713942759721
27	27	1.6167042318793896	1.5815133003133208	1.6518951634454584	-0.012016444975306247	-0.03813279929067025	0.014099909340057757
28	28	1.5906642253416465	1.5582680684809518	1.6230603822023413	-0.06039586777969732	-0.08485246760077167	-0.03593926795862298
29	29	1.574476886838246	1.5442842128250942	1.6046695608513977	-0.07120047085585583	-0.09738733820128748	-0.04501360351042419
30	30	1.5842030235892233	1.5555076341153073	1.6128984130631392	-0.12240024374292739	-0.15157477856648086	-0.09322570891937394
31	31	1.583613807062011	1.5555709565186926	1.6116566576053293	-0.14287837012646828	-0.17357328206260453	-0.11218345819033206
32	32	1.591975003859983	1.5636559363340323	1.6202940713859335	-0.18609495714280685	-0.21875295225827518	-0.15343696202733853
33	33	1.6125842278537745	1.5837168812353728	1.6414515744721763	-0.24146029530081592	-0.2752372273137045	-0.20768336328792733
34	34	1.64432662413371	1.6153273535535162	1.6733258947139038	-0.25888500010711696	-0.29415966814366	-0.22361033207057388
35	35	1.6553115328411074	1.6270666508101184	1.6835564148720965	-0.30113426508771296	-0.3385956789672571	-0.2636728512081688
36	36	1.6313917473280541	1.6041614886919253	1.658622005964183	-0.3488968069683679	-0.38821077457019815	-0.30958283936653763
